task,split,k_shot,k_shot_int,acc_mean,acc_std,f1_mean,f1_std,n_seeds
BreathingDetection,test_id,1,1,0.5661358032917971,0.1738614860859677,0.5585528391176667,0.17234942891192923,3
BreathingDetection,test_id,2,2,0.5640923124763999,0.12384855255429836,0.5615652324905298,0.12280290759608228,3
BreathingDetection,test_id,4,4,0.6212656315941448,0.046188475821353187,0.6144111769628454,0.04755058544085518,3
BreathingDetection,test_id,8,8,0.667399657937407,0.028421162109805952,0.6645946085992188,0.026467275405930052,3
BreathingDetection,test_id,16,16,0.6433664289998001,0.04242465790542498,0.639847047077276,0.04107980811020519,3
BreathingDetection,test_id,32,32,0.6722862664090091,0.0197003266805005,0.6681567664521616,0.015503591034812764,3
BreathingDetection,test_id,64,64,0.6773061460207458,0.03536419173262567,0.6742302426392782,0.033536524423345926,3
BreathingDetection,test_id,full,69995,0.814619844072766,0.0,0.8125125517130578,0.0,3
FallDetection,test_id,1,1,0.44399323181049066,0.03881248355820911,0.40542722884589094,0.06252332479462039,3
FallDetection,test_id,2,2,0.5214890016920474,0.03134994403524455,0.4925374124110545,0.016190093837419872,3
FallDetection,test_id,4,4,0.5248730964467004,0.02529257115540411,0.5082404896857564,0.024734063069472338,3
FallDetection,test_id,8,8,0.5884940778341793,0.01996902672342729,0.5844934221561785,0.01844151305566081,3
FallDetection,test_id,16,16,0.5664974619289339,0.024715478357374233,0.5603372586634966,0.020082834684523952,3
FallDetection,test_id,32,32,0.6203045685279187,0.015126562868783075,0.6184504459584178,0.014620280411750775,3
FallDetection,test_id,64,64,0.6832487309644669,0.007993916623362263,0.6785022986526554,0.007305977670832794,3
FallDetection,test_id,full,4619,0.8477157360406092,1.1102230246251565e-16,0.8430969008053828,0.0,3
